id,project_name,site_name,country,latitude,longitude,raw_year,year,outbreak,outbreak__color
2.MED1_M-1453,Kutyrev2018,NA,kazakhstan,47.2286086,65.2093197,2021,0,Modern,Red
2.MED1_M-1484,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1_M-1524,Kutyrev2018,NA,kazakhstan,47.2286086,65.2093197,2021,0,Modern,Red
2.MED1_M-1773,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1_M-1864,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1_M-519,Kutyrev2018,NA,turkmenistan,39.3763807,59.3924609,2021,0,Modern,Red
2.MED1_M-549,Kutyrev2018,NA,kazakhstan,47.2286086,65.2093197,2021,0,Modern,Red
2.MED1_M-595,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1_M-978,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1b_2506,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED1c_2654,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED1d_2504,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED2b_91,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED2c_K11973002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED2d_A1973001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED2e_7338,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3a_J1963002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3b_CMCC125002b,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3c_I1969003,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3d_J1978002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3f_I1970005,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3g_CMCC99103,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3h_CMCC90027,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3i_CMCC92004,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3j_I2001001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3k_CMCC12003,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3l_I1994006,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3m_SHAN11,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3n_SHAN12,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3o_I1991001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED3p_CMCC107004,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
3.ANT1a_7b,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
3.ANT1b_CMCC71001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
3.ANT1c_C1976001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
3.ANT1d_71021,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
3.ANT2a_MGJZ6,Cui2013,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
3.ANT2b_MGJZ7,Cui2013,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
3.ANT2c_MGJZ9,Cui2013,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
3.ANT2d_MGJZ11,Cui2013,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
3.ANT2e_MGJZ3,Cui2013,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
4.ANT_1454,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
4.ANT_338,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
4.ANT_517,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
4.ANT_KM932,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
4.ANT_M-1944,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
4.ANT1a_MGJZ12,Cui2013,NA,unknown,0,0,2021,0,Modern,Red
outgroup_Y.pseudo,Chain2004,NA,france,46.603354,1.8883335,2021,0,Modern,Red
UNT003.A,Keller2019,Unterthürheim,germany,48.599532,10.706911,516,-1505,First_Pandemic,Green
VAL001.B,Keller2019,Valencia,spain,39.476142,-0.374283,521,-1500,First_Pandemic,Green
LVC_merged,Keller2019,Lunel-Viel (Quartier centrale),france,43.677935,4.092158,500,-1521,First_Pandemic,Green
Altenerding2018,Feldman2016,Altenerding,germany,48.287,11.903,569.5,-1451.5,First_Pandemic,Green
Barcelona,Spyrou2016,Sants Màrtirs Just i Pastor,spain,41.382,2.178,1376,-645,Second_Pandemic,Yellow
BED024.A0102_8052_PE_SE,Spyrou2019,New Churchyard (Bedlam) burial ground,united_kingdom,51.517,-0.083,1668.5,-352.5,Second_Pandemic,Yellow
BED028.A0102_8103_PE_SE,Spyrou2019,New Churchyard (Bedlam) burial ground,united_kingdom,51.517,-0.083,1668.5,-352.5,Second_Pandemic,Yellow
BED030.A0102_8127_PE_SE,Spyrou2019,New Churchyard (Bedlam) burial ground,united_kingdom,51.517,-0.083,1668.5,-352.5,Second_Pandemic,Yellow
BED034.A0102_8198_PE_SE,Spyrou2019,New Churchyard (Bedlam) burial ground,united_kingdom,51.517,-0.083,1668.5,-352.5,Second_Pandemic,Yellow
Bolgar,Spyrou2016,Ust-Jerusalem necropolis,russia,54.967,49.034,1397,-624,Second_Pandemic,Yellow
BRA001.A0101_PE_SE,Spyrou2019,Domlinden 12,germany,52.414,12.567,1704,-317,Second_Pandemic,Yellow
DIT003.B,Keller2019,Dittenheim,germany,49.055223,10.792532,511.5,-1509.5,First_Pandemic,Green
EDI001.A_shotgun,Keller2019,Edix Hill,united_kingdom,52.136,-0.011,626.5,-1394.5,First_Pandemic,Green
GEN72,AndradesValtuena2017,Beli Manastir-Popova zemlja,croatia,45.77,18.61,-2691.5,-4712.5,LNBA,Blue
Gyvakarai1,AndradesValtuena2017,Gyvakarai,lithuania,55.913,24.89,-2475.5,-4496.5,LNBA,Blue
GZL001.A0101_02.YP2.1,Yu2020,Glazkovskoe Predmestie Site,russia,52.279,104.251,-2279,-4300,LNBA,Blue
GZL002.A0101_02.YP2.1,Yu2020,Glazkovskoe Predmestie Site,russia,52.279,104.251,-2379,-4400,LNBA,Blue
HUT004.A_1343UnTal85,AndradesValtuena2017,Haunstetten Unterer Talweg 85,germany,48.318,10.891,-2201,-4222,LNBA,Blue
JK1548_UDG_PE_SE,Spyrou2019,“Marktplatz” Ellwangen,germany,48.962,10.131,1572,-449,Second_Pandemic,Yellow
KunilaII,AndradesValtuena2017,Kunila,estonia,58.616,23.796,-2386,-4407,LNBA,Blue
LAI009.A0101_RT88_PE_SE,Spyrou2019,Laishevo III cemetery,russia,55.401,49.549,1421,-600,Second_Pandemic,Yellow
London_EastSmithfield_8124_8291_11972,Bos2011,East Smithfield Cemetery,united_kingdom,51.508,-0.069,1365,-656,Second_Pandemic,Yellow
MAN008.B0101_SE,Spyrou2019,St. Leonhardi,germany,48.717,11.495,1407.5,-613.5,Second_Pandemic,Yellow
MIK005.A_RT5,Spyrou2018,Mikhailovsky II burial site,russia,53.2,50.2,-1765,-3786,LNBA,Blue
NMS002.A0101.combined,Spyrou2019,Augustinian Friary,united_kingdom,52.202,0.12,1599,-422,Second_Pandemic,Yellow
OBS107,Bos2016,l'Observance,france,43.301,5.367,1737,-284,Second_Pandemic,Yellow
OBS110,Bos2016,l'Observance,france,43.301,5.367,1737,-284,Second_Pandemic,Yellow
OBS116,Bos2016,l'Observance,france,43.301,5.367,1737,-284,Second_Pandemic,Yellow
OBS124,Bos2016,l'Observance,france,43.301,5.367,1737,-284,Second_Pandemic,Yellow
OBS137,Bos2016,l'Observance,france,43.301,5.367,1737,-284,Second_Pandemic,Yellow
PET004.A,Keller2019,Petting,germany,47.912771,12.816226,517,-1504,First_Pandemic,Green
PST006.A_Post6,AndradesValtuena2017,Haunstetten Postillionstrasse 6,germany,48.308,10.893,-1873.5,-3894.5,LNBA,Blue
RISE505,Rasmussen2015,Kytmanovo,russia,53.456,85.447,-1613.5,-3634.5,LNBA,Blue
RISE509,Rasmussen2015,Bateni,russia,54.584,90.775,-2815,-4836,LNBA,Blue
RK1001.C,AndradesValtuena2017,Rasshevatskiy,russia,45.569,41.03,-2704,-4725,LNBA,Blue
STA001.A0101_PE_SE,Spyrou2019,Possenhofener Str. 3,germany,47.995,11.339,1621,-400,Second_Pandemic,Yellow
STN002.A0101_SE,Spyrou2019,"Nägeligasse, St. Peter and Paul churchyard",switzerland,46.956,8.365,1631,-390,Second_Pandemic,Yellow
STN007.A0101_SE,Spyrou2019,"Nägeligasse, St. Peter and Paul churchyard",switzerland,46.956,8.365,1631,-390,Second_Pandemic,Yellow
STN008.A0101_SE,Spyrou2019,"Nägeligasse, St. Peter and Paul churchyard",switzerland,46.956,8.365,1631,-390,Second_Pandemic,Yellow
STN014.A0101_SE,Spyrou2019,"Nägeligasse, St. Peter and Paul churchyard",switzerland,46.956,8.365,1631,-390,Second_Pandemic,Yellow
STN019.A0101_SE,Spyrou2019,"Nägeligasse, St. Peter and Paul churchyard",switzerland,46.956,8.365,1596,-425,Second_Pandemic,Yellow
STN020.A0101_SE,Spyrou2019,"Nägeligasse, St. Peter and Paul churchyard",switzerland,46.956,8.365,1631,-390,Second_Pandemic,Yellow
STN021.A0101_SE,Spyrou2019,"Nägeligasse, St. Peter and Paul churchyard",switzerland,46.956,8.365,1631,-390,Second_Pandemic,Yellow
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
